Dataset,Classifier,Method,Metric,N_Folds,Mean,Std
colon,KNN,QUBO-SB (K=10),PRECISION,5,0.76,0.25099800796022265
colon,KNN,QUBO-SB (K=10),RECALL,5,0.61,0.260768096208106
colon,KNN,QUBO-SB (K=10),F1,5,0.6603174603174603,0.2146088099194358
colon,KNN,QUBO-SB (K=10),AUC,5,0.7725,0.15338625671812978
colon,KNN,QUBO-SB (K=20),ACCURACY,5,0.8871794871794872,0.04361801496462563
colon,KNN,QUBO-SB (K=20),PRECISION,5,0.8699999999999999,0.12041594578792293
colon,KNN,QUBO-SB (K=20),RECALL,5,0.82,0.1036822067666386
colon,KNN,QUBO-SB (K=20),F1,5,0.836984126984127,0.06068081866282229
colon,KNN,QUBO-SB (K=20),AUC,5,0.875,0.08841596469246944
colon,KNN,QUBO-SB (K=50),ACCURACY,5,0.7564102564102564,0.1340801324573839
colon,KNN,QUBO-SB (K=50),PRECISION,5,0.5733333333333334,0.38758511609996354
colon,KNN,QUBO-SB (K=50),RECALL,5,0.5700000000000001,0.3420526275297414
colon,KNN,QUBO-SB (K=50),F1,5,0.5657720057720057,0.35378685285312306
colon,KNN,QUBO-SB (K=50),AUC,5,0.776875,0.15869339542022534
colon,KNN,QUBO-SB (K=100),ACCURACY,5,0.6897435897435897,0.1429501552187145
colon,KNN,QUBO-SB (K=100),PRECISION,5,0.5599999999999999,0.3960920207336786
colon,KNN,QUBO-SB (K=100),RECALL,5,0.39,0.2966479394838265
colon,KNN,QUBO-SB (K=100),F1,5,0.44571428571428573,0.30878299625385824
colon,KNN,QUBO-SB (K=100),AUC,5,0.751875,0.1789945879070091
colon,KNN,RFECV (K=600),ACCURACY,2,0.842948717948718,0.10425292286724734
colon,KNN,RFECV (K=600),PRECISION,2,0.9,0.14142135623730948
colon,KNN,RFECV (K=600),RECALL,2,0.7,0.4242640687119285
colon,KNN,RFECV (K=600),F1,2,0.7301587301587301,0.2244783432338246
colon,KNN,RFECV (K=600),AUC,2,0.915625,0.013258252147247797
colon,KNN,RFECV (K=2000),ACCURACY,2,0.766025641025641,0.21303858151133157
colon,KNN,RFECV (K=2000),PRECISION,2,0.75,0.3535533905932738
colon,KNN,RFECV (K=2000),RECALL,2,0.575,0.24748737341529162
colon,KNN,RFECV (K=2000),F1,2,0.6507936507936507,0.291821846203972
colon,KNN,RFECV (K=2000),AUC,2,0.846875,0.08396893026590253
colon,KNN,RFECV (K=400),ACCURACY,1,0.75,0.0
colon,KNN,RFECV (K=400),PRECISION,1,0.6666666666666666,0.0
colon,KNN,RFECV (K=400),RECALL,1,0.5,0.0
colon,KNN,RFECV (K=400),F1,1,0.5714285714285714,0.0
colon,KNN,RFECV (K=400),AUC,1,0.796875,0.0
colon,OPF,ANOVA (K=10),ACCURACY,5,0.7871794871794872,0.12540204902134106
colon,OPF,ANOVA (K=10),PRECISION,5,0.8333333333333334,0.23570226039551584
colon,OPF,ANOVA (K=10),RECALL,5,0.53,0.2819574435974337
colon,OPF,ANOVA (K=10),F1,5,0.6085714285714285,0.22981802916788804
colon,OPF,ANOVA (K=10),AUC,5,0.9012499999999999,0.06649718039135194
colon,OPF,ANOVA (K=20),ACCURACY,5,0.7884615384615385,0.09593993299420367
colon,OPF,ANOVA (K=20),PRECISION,5,0.7833333333333333,0.2173067468400883
colon,OPF,ANOVA (K=20),RECALL,5,0.58,0.130384048104053
colon,OPF,ANOVA (K=20),F1,5,0.6587301587301587,0.14655702629063005
colon,OPF,ANOVA (K=20),AUC,5,0.9175000000000001,0.10292594425119451
colon,OPF,ANOVA (K=50),ACCURACY,5,0.8243589743589743,0.1006022299877144
colon,OPF,ANOVA (K=50),PRECISION,5,0.8133333333333332,0.1849924923401548
colon,OPF,ANOVA (K=50),RECALL,5,0.6900000000000001,0.16355427233796127
colon,OPF,ANOVA (K=50),F1,5,0.7361904761904763,0.15325641371463444
colon,OPF,ANOVA (K=50),AUC,5,0.8574999999999999,0.07267220926874317
colon,OPF,ANOVA (K=100),ACCURACY,5,0.7935897435897435,0.12702986960240156
colon,OPF,ANOVA (K=100),PRECISION,5,0.77,0.2280350850198276
colon,OPF,ANOVA (K=100),RECALL,5,0.61,0.2382225849914319
colon,OPF,ANOVA (K=100),F1,5,0.6666666666666667,0.23328473740792172
colon,OPF,ANOVA (K=100),AUC,5,0.8724999999999999,0.0944349974850426
colon,OPF,Lasso (K=58),ACCURACY,1,0.8461538461538461,0.0
colon,OPF,Lasso (K=58),PRECISION,1,1.0,0.0
colon,OPF,Lasso (K=58),RECALL,1,0.6,0.0
