method_label,classifier,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auc_mean,auc_std,reduction_rate_mean,reduction_rate_std,runtime_selection_mean,runtime_selection_std,runtime_training_mean,runtime_training_std
ANOVA (K=50),opf,0.8243589743589743,0.10060222998771443,0.7361904761904762,0.15325641371463447,0.8133333333333332,0.18499249234015483,0.6900000000000001,0.16355427233796127,0.8574999999999999,0.07267220926874318,0.975,0.0,0.005681638400710653,0.001748342967491845,0.02043206920061493,0.006300310551748454
ANOVA (K=50),rf,0.8551282051282051,0.11427529420891978,0.7611111111111111,0.19404721329525534,0.8433333333333334,0.1507389207279335,0.73,0.27748873851023215,0.8699999999999999,0.11620630899396127,0.975,0.0,0.005681638400710653,0.001748342967491845,0.5810491841999464,0.03818408703991058
ANOVA (K=50),svm,0.8705128205128204,0.07439764688438025,0.8243578643578644,0.09731214869432847,0.8066666666666666,0.1422048600513436,0.86,0.12942179105544785,0.87375,0.09061422349719715,0.975,0.0,0.005681638400710653,0.001748342967491845,0.06403929900043295,0.018164986062111595
ANOVA (K=50),xgboost,0.7717948717948718,0.07592839805044123,0.6433333333333333,0.1561694236682997,0.78,0.2280350850198276,0.63,0.2252776065213762,0.85125,0.09945162140458044,0.975,0.0,0.005681638400710653,0.001748342967491845,0.3730688692012336,0.10305833948167199
Lasso,catboost,0.8525641025641025,0.09088106973562711,0.7866666666666667,0.13662601021279466,0.8133333333333332,0.18499249234015477,0.8099999999999999,0.2073644135332772,0.89125,0.07363338237511569,0.8512000000000001,0.17028747751963436,0.7809542553994107,0.17440757768890613,4.715635585799464,4.690717358966857
Lasso,knn,0.8705128205128204,0.07439764688438025,0.8203174603174602,0.09324907113112621,0.8400000000000001,0.1673320053068151,0.82,0.10368220676663858,0.875625,0.08895003864529796,0.8512000000000001,0.17028747751963436,0.7809542553994107,0.17440757768890613,0.16967721540058847,0.053868213497093725
Lasso,opf,0.823076923076923,0.06640109826963363,0.7480952380952381,0.08344210588194433,0.8033333333333333,0.18723128893311491,0.74,0.16355427233796124,0.9237500000000001,0.07240295228787288,0.8512000000000001,0.17028747751963436,0.7809542553994107,0.17440757768890613,0.03873740900089615,0.03415111778008833
Lasso,rf,0.8538461538461538,0.070716489079598,0.7822222222222222,0.11155467020454342,0.8400000000000001,0.1673320053068151,0.77,0.17888543819998318,0.91875,0.06643841132959157,0.8512000000000001,0.17028747751963436,0.7809542553994107,0.17440757768890613,0.7590079882000282,0.08641227221985222
Lasso,svm,0.8384615384615385,0.05934249646683649,0.7711111111111111,0.08140358229142342,0.79,0.14317821063276354,0.78,0.14404860290887936,0.8862500000000001,0.09503288904374103,0.8512000000000001,0.17028747751963436,0.7809542553994107,0.17440757768890613,0.06068312899878947,0.025724835260590797
Lasso,xgboost,0.7897435897435898,0.04653510618687573,0.6476190476190476,0.16876233473018432,0.8133333333333332,0.18499249234015477,0.64,0.30700162866017505,0.845,0.10101051925418462,0.8512000000000001,0.17028747751963436,0.7809542553994107,0.17440757768890613,0.4213407803988957,0.20375626085851214
